epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82618,2.22312,7.39458,0.75913,4.25492,1.9993,0.00796,0.92857,0.38942,0.13981,0.00337,0.39286,0.13732,0.03398,2.23833,6.29255,0.53008,3.61145,1.97209,6.668e-05,6.668e-05,6.668e-05
2,12.2068,2.09196,7.33107,0.63412,4.047,1.87572,0.66671,0.57154,0.68512,0.34263,0.41868,0.21429,0.17959,0.04864,1.76211,5.47343,0.4202,2.66444,1.51415,0.000142604,0.000142604,0.000142604
3,14.5709,1.47152,5.88582,0.38267,3.02221,1.38596,0.76871,0.78571,0.82423,0.49018,0.19189,0.28571,0.07004,0.01642,1.37953,6.37461,0.24641,2.58994,1.25823,0.000210275,0.000210275,0.000210275
4,16.7857,1.2847,5.69019,0.31412,2.40021,1.24808,0.94883,0.82143,0.88519,0.53633,0.26786,0.21429,0.10446,0.01955,1.29718,6.63229,0.20774,2.41516,1.21131,0.000269696,0.000269696,0.000269696
5,18.9825,1.21474,4.94876,0.29973,2.23948,1.21065,0.92567,0.88965,0.89402,0.60009,0.31665,0.25,0.10281,0.02223,1.17605,6.4177,0.22844,1.86745,1.13914,0.000320864,0.000320864,0.000320864
6,21.079,1.10124,5.2043,0.31151,2.105,1.13854,0.95675,0.89286,0.89781,0.59585,0.24146,0.17857,0.0611,0.01742,1.17574,6.55371,0.21685,1.73954,1.12304,0.000363781,0.000363781,0.000363781
7,23.2407,1.07679,4.839,0.2833,1.87737,1.12224,0.95741,0.89286,0.89363,0.61845,0.2757,0.25,0.08128,0.01626,1.20418,6.91364,0.17406,1.64018,1.14493,0.000398446,0.000398446,0.000398446
8,25.4868,1.03246,4.7991,0.31493,1.79631,1.15197,0.99761,0.89286,0.91279,0.58672,0.24692,0.21429,0.08126,0.01925,1.26755,6.60108,0.18243,1.36521,1.18507,0.00042486,0.00042486,0.00042486
9,27.6672,1.04863,4.70309,0.2844,1.62961,1.10941,1,0.9256,0.92639,0.57086,0.36153,0.25,0.17036,0.0416,1.31695,6.34176,0.18104,1.36409,1.21772,0.000443022,0.000443022,0.000443022
10,29.8349,1.09754,4.20314,0.2267,1.60952,1.09429,0.99684,0.92857,0.92571,0.59743,0.22994,0.21429,0.11185,0.02076,1.29444,6.28168,0.17507,1.49927,1.2349,0.000452932,0.000452932,0.000452932
11,42.3058,0.84229,3.59948,0.1313,1.75508,1.04396,0.9825,0.92857,0.94408,0.61273,0.35467,0.35344,0.17452,0.04387,1.25963,5.64808,0.17507,1.24881,1.154,0.000454591,0.000454591,0.000454591
12,44.4966,0.90739,3.66738,0.15562,1.83663,1.07728,0.99473,0.92857,0.95788,0.6189,0.45817,0.3926,0.21432,0.04017,1.30677,6.24453,0.15582,1.21043,1.14963,0.000447998,0.000447998,0.000447998
13,46.5228,0.83715,3.38551,0.12696,1.86252,1.05065,0.99547,0.92857,0.95788,0.62257,0.44897,0.39286,0.22197,0.04075,1.30285,6.25588,0.14959,1.19419,1.14155,0.000433153,0.000433153,0.000433153
14,48.5675,0.84422,3.27867,0.12915,1.76625,1.02792,0.99401,0.92857,0.95891,0.62397,0.37843,0.28571,0.11715,0.01788,1.25271,6.85388,0.14091,1.19407,1.12531,0.000410057,0.000410057,0.000410057
15,50.6554,0.79794,2.91849,0.09615,1.53302,1.01292,0.99851,0.89286,0.91674,0.62957,0.38014,0.28571,0.13567,0.02226,1.30575,6.91629,0.15461,1.24619,1.15043,0.000378709,0.000378709,0.000378709
16,52.6845,0.75778,2.91407,0.1048,1.44386,0.99393,1,0.89275,0.91789,0.61216,0.38039,0.28571,0.14133,0.02967,1.3384,6.9696,0.1443,1.28573,1.19603,0.000339109,0.000339109,0.000339109
17,54.772,0.73129,2.79188,0.1066,1.41275,0.99419,1,0.89198,0.91839,0.64618,0.38042,0.28571,0.13478,0.03482,1.25464,6.88199,0.14054,1.1471,1.1666,0.000291258,0.000291258,0.000291258
18,56.8737,0.70906,2.70271,0.08853,1.31993,1.00083,0.96151,0.89223,0.89438,0.66651,0.40299,0.28571,0.13347,0.03578,1.2151,6.79248,0.13623,1.1403,1.15201,0.000235155,0.000235155,0.000235155
19,58.8887,0.6843,2.62777,0.09911,1.36391,0.95921,0.96153,0.89256,0.9204,0.67412,0.40948,0.28571,0.13326,0.03958,1.19559,6.67619,0.13407,1.09275,1.13456,0.000170801,0.000170801,0.000170801
20,61.0128,0.71112,2.50604,0.09318,1.3772,0.95479,0.96138,0.89286,0.92045,0.65765,0.4231,0.28571,0.13325,0.03697,1.20112,6.59302,0.13094,1.04164,1.11712,9.81946e-05,9.81946e-05,9.81946e-05
